ИГЭ;Верх;Грунт;IL/fi;Y;k;YR
2';-15.13;песчаный;0.2;16.9;1;0.7
3';-16.85;песчаный;0.2;17.6;1;0.7
4';-18.15;глинистый;0.167;18;1;0.7
4';-19.91;глинистый;0.167;18;1;0.7
4';-21.67;глинистый;0.167;18;1;0.7
4';-23.43;глинистый;0.167;18;1;0.7
4';-25.19;глинистый;0.167;18;1;0.7
5';-26.95;глинистый;0;16.2;1;0.6
5';-28.95;глинистый;0;16.2;1;0.6
5';-30.95;глинистый;0;16.2;1;0.6
5';-31.53;глинистый;0;16.2;1;1
