d;23.00;25.00;27.00;29.00;31.00;33.00;35.00;37.00;39.00
0.80;0.34;0.31;0.29;0.27;0.26;0.25;0.24;0.23;0.22
4.00;0.25;0.24;0.23;0.22;0.21;0.20;0.19;0.18;0.17
