;0;0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9;1
1;35;35;35;23;15;12;8;4;4;3;2
2;42;42;42;30;21;17;12;7;5;4;4
3;48;48;48;35;25;20;14;8;7;6;5
4;53;53;53;38;27;22;16;9;8;7;5
5;56;56;56;40;29;24;17;10;8;7;6
6;58;58;58;42;31;25;18;10;8;7;6
8;62;62;62;44;33;26;19;10;8;7;6
10;65;65;65;46;34;27;19;10;8;7;6
15;72;72;72;51;38;28;20;11;8;7;6
20;79;79;79;56;41;30;20;12;8;7;6
25;86;86;86;61;44;32;20;12;8;7;6
30;93;93;93;66;47;34;21;12;9;8;7
35;100;100;100;70;50;36;22;13;9;8;7
40;107;107;107;74;53;38;23;14;9;8;7
